Order_ID,Order_Date,Order_Status,CustomerID,Gender,Age,City,Country,Subscription Status,Category,Item_Purchased,Quantity,Purchase_Amount,Discount Applied,Shipping_Cost,Payment Method,Previous Purchases,Frequency of Purchases,Ship_Mode,Review Rating
405-8078784-5731545,4/30/2022,Cancelled,17850,Male,55,Tokyo,Japan,Yes,Beauty,Face Wash,6,236.53,Yes,171.35,Venmo,14,Fortnightly,Same Day,3.1
171-9198151-1101146,4/30/2022,Shipped - Delivered to Buyer,17850,Male,19,New York,United States,Yes,Sports,Basketball,6,432.79,Yes,209.13,Cash,2,Fortnightly,Standard,3.1
404-0687676-7273146,4/30/2022,Shipped,17850,Male,50,Mexico City,Mexico,Yes,Toys,Doll,8,517.02,Yes,278.31,Credit Card,23,Weekly,Same Day,3.1
403-9615377-8133951,4/30/2022,Cancelled,17850,Male,21,Mumbai,India,Yes,Beauty,Face Wash,6,373.19,Yes,73.08,PayPal,49,Weekly,Standard,3.5
407-1069790-7240320,4/30/2022,Shipped,17850,Male,45,Ṣo Paulo,Brazil,Yes,Clothing,T-Shirt,6,444.8,Yes,149.27,PayPal,31,Annually,Standard,2.7
404-1490984-4578765,4/30/2022,Shipped,17850,Male,46,Delhi,India,Yes,Beauty,Lipstick,2,441.86,Yes,162.54,Venmo,14,Weekly,Standard,2.9
408-5748499-6859555,4/30/2022,Shipped,17850,Male,63,Shanghai,China,Yes,Home & Kitchen,Vacuum Cleaner,6,1276.91,Yes,96.91,Cash,49,Quarterly,Same Day,3.2
406-7807733-3785945,4/30/2022,Shipped - Delivered to Buyer,17850,Male,27,Kolkata,India,Yes,Beauty,Moisturizer,6,413.23,Yes,78.34,Credit Card,19,Weekly,Standard,3.2
407-5443024-5233168,4/30/2022,Cancelled,17850,Male,26,Los Angeles,United States,Yes,Sports,Basketball,6,579.81,Yes,173.52,Venmo,8,Annually,Same Day,2.6
402-4393761-0311520,4/30/2022,Shipped,13047,Male,57,Dhaka,Bangladesh,Yes,Books,Comics,32,615.36,Yes,207.16,Cash,4,Quarterly,Same Day,4.8
407-5633625-6970741,4/30/2022,Shipped,13047,Male,53,Buenos Aires,Argentina,Yes,Beauty,Lipstick,6,273.09,Yes,397.52,Bank Transfer,26,Bi-Weekly,Express,4.1
